@timestamp,@duration,@billedDuration,@maxMemoryUsed,@memorySize
2020-07-21 22:35:55.483,1.5,100,107000000,128000000
2020-07-21 22:35:54.762,1.68,100,107000000,128000000
2020-07-21 22:35:53.557,1.35,100,107000000,128000000
2020-07-21 22:35:52.531,1.49,100,107000000,128000000
2020-07-21 22:35:51.567,1.51,100,107000000,128000000
2020-07-21 22:35:50.490,1.54,100,107000000,128000000
2020-07-21 22:35:49.576,1.31,100,107000000,128000000
2020-07-21 22:35:48.561,1.43,100,107000000,128000000
2020-07-21 22:35:47.512,1.28,100,107000000,128000000
2020-07-21 22:35:46.487,1.45,100,107000000,128000000
2020-07-21 22:35:45.522,9.63,100,107000000,128000000
2020-07-21 22:35:44.559,1.64,100,107000000,128000000
2020-07-21 22:35:43.612,1.41,100,107000000,128000000
2020-07-21 22:35:42.714,1.3,100,107000000,128000000
2020-07-21 22:35:41.562,11.49,100,107000000,128000000
2020-07-21 22:35:40.519,1.81,100,107000000,128000000
2020-07-21 22:35:39.572,1.3,100,107000000,128000000
2020-07-21 22:35:38.463,1.32,100,107000000,128000000
2020-07-21 22:35:37.512,1.34,100,107000000,128000000
2020-07-21 22:35:36.562,1.33,100,107000000,128000000
2020-07-21 22:35:35.559,1.38,100,107000000,128000000
2020-07-21 22:35:34.563,1.56,100,107000000,128000000
2020-07-21 22:35:33.803,12.31,100,107000000,128000000
2020-07-21 22:35:32.499,1.27,100,107000000,128000000
2020-07-21 22:35:31.563,2.34,100,107000000,128000000
2020-07-21 22:35:30.536,1.28,100,107000000,128000000
2020-07-21 22:35:29.572,1.51,100,107000000,128000000
2020-07-21 22:35:28.567,1.56,100,107000000,128000000
2020-07-21 22:35:28.555,1.46,100,107000000,128000000
2020-07-21 22:35:26.539,1.44,100,107000000,128000000
2020-07-21 22:35:25.719,1.65,100,107000000,128000000
2020-07-21 22:35:24.682,1.56,100,107000000,128000000
2020-07-21 22:35:23.796,1.27,100,107000000,128000000
2020-07-21 22:35:22.742,12.9,100,107000000,128000000
2020-07-21 22:35:21.583,11.49,100,107000000,128000000
2020-07-21 22:35:20.562,1.38,100,107000000,128000000
2020-07-21 22:35:19.527,1.57,100,107000000,128000000
2020-07-21 22:35:18.725,1.5,100,107000000,128000000
2020-07-21 22:35:17.544,1.31,100,107000000,128000000
2020-07-21 22:35:16.940,1.65,100,107000000,128000000
2020-07-21 22:35:15.716,1.97,100,107000000,128000000
2020-07-21 22:35:14.836,1.28,100,107000000,128000000
2020-07-21 22:35:13.622,1.54,100,107000000,128000000
2020-07-21 22:35:12.762,1.25,100,107000000,128000000
2020-07-21 22:35:11.594,1.31,100,107000000,128000000
2020-07-21 22:35:10.717,1.35,100,107000000,128000000
2020-07-21 22:35:09.782,12.71,100,107000000,128000000
2020-07-21 22:35:08.511,1.34,100,107000000,128000000
2020-07-21 22:35:07.834,1.27,100,107000000,128000000
2020-07-21 22:35:07.331,1.35,100,107000000,128000000
2020-07-21 22:35:07.216,1.37,100,107000000,128000000
